index,name,type,category,Courriel,Type.1,Région,Periodicité,Province,Ville,Catégorie,Groupe de presse,Télécopieur,Site web,Code postal,Spécialisations,Téléphone,Adresse
0,À Babord,Magazine,Indépendant,info@ababord.org,Magazine,Montréal,5 fois l'an,Qc,Montréal,,Indépendant,,www.ababord.org,H2G 2N8,,,"5819, de Lorimier "
1,Écho de Vaudreuil-Soulanges,Hebdo régional,,,Hebdo régional,Montréal,,QC,Vaudreuil-Dorion,,,(450) 455-0596,,J7V 2M4,,(450) 455-6111,"469, Saint-Charles "
2,Échos de l'Amérique,Magazine,Indépendant,echosdelamerique@videotron.ca,Magazine,Montréal,,QC,Montréal,Média ethnique,Indépendant,514 844-2655,,H2X 3L2,,514 844-26727,"3423, Saint-Denis Bureau 31"
3,Écodécision,Magazine,,,Magazine,Montréal,4 fois l'an,QC,"Montréal,",,,(514) 278-8189,www.ecodec.org,H2T 2P7,,(514) 278-9495,"119, Saint-Joseph O. "
4,École Promédia,Maison d'enseignement,,info@ecolepromedia.com,Maison d'enseignement,Montréal,,QC,Montréal,,,,www.ecolepromedia.typepad.com,H3B 1H5,,514 861-8951,"1118, rue Sainte-Catherine O., #700 "
5,Économédia,Internet,Netgraphe,,Internet,,,,,,Netgraphe,,www.economedia.com,,,,
6,Émotion Rock FM,Radio,RNC Media,infochvd@antenne6.com,Radio,Saguenay-Lac-St-Jean,,QC,Roberval,,RNC Media,418 276-6755,,G8L 1J5,,418 276-3333,"568, boul. Saint-Joseph "
7,ÉQOH,Périodique,Indépendant,eqoh@accent.net,Périodique,Montréal,Mensuel,QC,Montréal,Média communautaire,Indépendant,(514) 277-7211,,H3N 1X1,,(514) 277-4422,"7000, av. du Parc, #306 "
8,10/10 Media,Agence,Indépendant,pelo1010media@aol.com,Agence,Montréal,,QC,Laval,,Indépendant,(450) 969-6626,,H7X 3N8,,(450) 969-6626,"1089, de l’Hôtel-de-Ville "
9,"100,1 Rythme FM / 106,9 FM",Radio,Cogeco,nouvelles@1069fm.net,Radio,Mauricie,,QC,Trois-Rivières,,Cogeco,819 374-3222,www.fm1069.ca www.rythmefm.com/mauricie,G9A 4J4,,"819 374-3556, #217","1350, Royale 12ème étage"
10,"103,1 FM",Radio,Indépendant,nouvelles@1031fm.ca,Radio,Mauricie,,QC,Saint-Léon-Le-Grand,,Indépendant,819 228-0330,www.1031fm.ca,J0K 2W0,,819 228-1001,"50-A, de la Fabrique C.P. 35"
11,24 Heures,Quotidien,Quebecor,24h.redaction@quebecor.com,Quotidien,Montréal,Quotidien,QC,Montréal,,Quebecor,514 393-1407,http://24hmontreal.canoe.ca/,H2H 2R7,,514 393-1010,"4545, rue Frontenac "
